id,code,name
hr_ocupacion_3343002,3343002,Asistente administrativo
hr_ocupacion_5152001,5152001,Asistente de ama de llaves
hr_ocupacion_3311004,3311004,Asistente de mercadeo
hr_ocupacion_4416001,4416001,Asistente de recursos humanos
hr_ocupacion_5223001,5223001,Asistente de venta de tiendas y almacenes
hr_ocupacion_3213002,3213002,Asistente farmacéutico
hr_ocupacion_3256003,3256003,Asistente Médico
hr_ocupacion_3240001,3240001,Asistente veterinario
hr_ocupacion_5161002,5161002,Astrólogo
hr_ocupacion_2111002,2111002,Astrónomo
hr_ocupacion_3421001,3421001,Atleta
hr_ocupacion_2266001,2266001,Audiólogo y logopeda
hr_ocupacion_2511003,2511003,Auditor de sistemas
hr_ocupacion_2411002,2411002,Auditor general
hr_ocupacion_4321006,4321006,Auxiliar de bodega
hr_ocupacion_3411001,3411001,Auxiliar de bufete de Abogado
hr_ocupacion_4311001,4311001,Auxiliar de contabilidad
hr_ocupacion_2412001,2412001,Auxiliar de créditos
hr_ocupacion_3251001,3251001,Auxiliar de dentista
hr_ocupacion_5312001,5312001,Auxiliar de Maestro
hr_ocupacion_8121001,8121001,Auxiliar de máquina herramientas metalmecánica
hr_ocupacion_3311003,3311003,Auxiliar de operaciones financieras
hr_ocupacion_9611001,9611001,Auxiliar de recogida de basura
hr_ocupacion_9621006,9621006,Auxiliar de reparto
hr_ocupacion_9329001,9329001,Auxiliar de soldadura
hr_ocupacion_5112004,5112004,Auxiliar de transporte público
hr_ocupacion_2120002,2120002,Auxiliar estadístico
hr_ocupacion_3412001,3412001,Auxiliar o asistente sociale
hr_ocupacion_6122011,6122011,Avicultor
hr_ocupacion_6122010,6122010,Avicultor de cría de aves exóticas
hr_ocupacion_5162002,5162002,Ayuda de cámara
hr_ocupacion_9211002,9211002,Ayudante agropecuario
hr_ocupacion_9211003,9211003,Ayudante de acuicultura
hr_ocupacion_9313001,9313001,Ayudante de albañil
hr_ocupacion_5322002,5322002,Ayudante de ambulancia
hr_ocupacion_3258001,3258001,Ayudante de ambulancia y paramédico
hr_ocupacion_6123002,6123002,Ayudante de apiario
hr_ocupacion_4321001,4321001,Ayudante de bodega
hr_ocupacion_9311001,9311001,Ayudante de bombeo
hr_ocupacion_9333003,9333003,Ayudante de camión
hr_ocupacion_9311003,9311003,Ayudante de cantera
hr_ocupacion_9333001,9333001,Ayudante de carga de mercancías
hr_ocupacion_9333002,9333002,Ayudante de carga en empresa de mudanzas
hr_ocupacion_9412001,9412001,Ayudante de cocina
hr_ocupacion_5322001,5322001,Ayudante de enfermería a domicilio
hr_ocupacion_3221001,3221001,Ayudante de enfermería en instituciones
hr_ocupacion_7126003,7126003,Ayudante de fontanería
hr_ocupacion_9313002,9313002,Ayudante de grúa
hr_ocupacion_9313003,9313003,Ayudante de grúa puente
hr_ocupacion_9214001,9214001,Ayudante de jardinería y horticultura
hr_ocupacion_6224002,6224002,Ayudante de la caza
hr_ocupacion_9412002,9412002,Ayudante de la industria de alimentos
hr_ocupacion_9329003,9329003,Ayudante de la industria de fabricación de equipos
hr_ocupacion_9329007,9329007,Ayudante de la industria de la madera
hr_ocupacion_9329008,9329008,Ayudante de la industria de la piel
hr_ocupacion_9329009,9329009,Ayudante de la industria del metal
hr_ocupacion_9329002,9329002,Ayudante de la industria manufacturera
hr_ocupacion_9329004,9329004,Ayudante de la industria pesada
hr_ocupacion_9329005,9329005,Ayudante de la industria química
hr_ocupacion_9329006,9329006,Ayudante de la industria textil
hr_ocupacion_9629001,9629001,Ayudante de la industrias gráficas
hr_ocupacion_6222003,6222003,Ayudante de la pesca
hr_ocupacion_9312003,9312003,Ayudante de laboratorista de suelos
